sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
54,c'est compliqué ?,,,0,easy,no_intent,random_statements
55,Cap sur Metz depuis Toulon,Toulon,Metz,1,medium,inverted_order,
56,Avec mon ami Lourdes je voudrais aller de Nîmes à Strasbourg,Nîmes,Strasbourg,1,medium,name_ambiguity,Lourdes=prénom
57,Je voudrais un billet de Limoges à Marseille,Limoges,Marseille,1,easy,standard,
58,Je voudrais un bilet de Annec à Marseille,Annecy,Marseille,1,hard,misspelling,spelling errors
59,Toulon Dijon aller simple,Toulon,Dijon,1,medium,no_markers,
60,Je suis perdu ?,,,0,easy,no_intent,random_statements
61,Je viens de Toulon,,,0,easy,incomplete_dest,missing destination
62,Y a-t-il des trains directs de Lille à Perpignan,Lille,Perpignan,1,medium,standard,
63,Pour me rendre à Marseille je pars de Saint-Étienne,Saint-Étienne,Marseille,1,medium,inverted_order,
64,Je vais à Bordeaux ah non plutôt Paris,,,0,medium,ambiguous,contradictions
65,Je souhaite me rendre a Marceille depui Angers,Angers,Marseille,1,hard,misspelling,spelling errors
66,Marseille Dijon s'il vous plaît,Marseille,Dijon,1,medium,no_markers,
67,Deux billets de Montpellier à Limoges s'il vous plaît,Montpellier,Limoges,1,medium,additional_info,with time/passenger info
68,Les oiseaux chantent,,,0,easy,no_intent,random_statements
69,Destination Marseille,,,0,easy,incomplete_origin,missing origin
70,Je voudrais réserver un billet de Nice pour Reims,Nice,Reims,1,medium,standard,
71,j'aime voyager en train,,,0,easy,no_intent,train_discussion
72,Il fait beau aujourd'hui ?,,,0,easy,no_intent,general_questions
73,Yo,,,0,easy,no_intent,greetings
74,Je pars demain de ?,,,0,easy,incomplete_grammar,grammatically incomplete
75,voca puzuhacaka zekutoly himahupe zeta,,,0,easy,garbage,random text
76,Quel est le moyen le plus rapide pour aller de Tours à Lille,Tours,Lille,1,hard,complex_question,
77,Je vais à Florence voir mon ami Lourdes en partant de Lille,Lille,Florence,1,medium,name_ambiguity,Lourdes=prénom
78,??? --- ??? --- ???,,,0,easy,garbage,special characters
79,Mon ami Florence m'attend à Tours je pars de Montpellier,Montpellier,Tours,1,medium,name_ambiguity,Florence=prénom
80,Réservation Le Havre Saint-Étienne,Le Havre,Saint-Étienne,1,medium,no_markers,
81,Je me rends à Amiens en provenance de Bordeaux,Bordeaux,Amiens,1,medium,inverted_order,
82,Dijon Lille demain,Dijon,Lille,1,medium,no_markers,
83,kayak baleine papillon escalier,,,0,easy,garbage,nonsense words
84,Quel est le prix d'un billet de Amiens à Tours,Amiens,Tours,1,easy,standard,
85,horloge cactus vague,,,0,easy,garbage,nonsense words
86,À Lyon,,,0,easy,incomplete_origin,missing origin
87,Comment aller de Paris à Bordeaux à Marseille,,,0,medium,ambiguous,too many cities
88,Bonne journée,,,0,easy,no_intent,greetings
89,Un billet Limoges Le MMans,Limoges,Le Mans,1,hard,misspelling,spelling errors
90,comment aller à nantes,,,0,easy,incomplete_origin,missing origin
91,Toulon Montpellier aller simple,Toulon,Montpellier,1,medium,no_markers,
92,Rennes Lille Lyon Paris,,,0,medium,ambiguous,too many cities
93,Je vais à Paris ah non plutôt Bordeaux,,,0,medium,ambiguous,contradictions
94,Je dois rejoindre Clément à Limoges depuis Grenoble,Grenoble,Limoges,1,medium,name_ambiguity,Clément=prénom
95,D'accord,,,0,easy,no_intent,random_statements
96,"avec mes amis rémy et albert, je voudrais aller de dijon à paris",Dijon,Paris,1,hard,name_ambiguity,"Rémy/Albert=prénoms, lowercase"
97,Trajet vers Saint-Étienne au départ de Le Mans,Le Mans,Saint-Étienne,1,medium,inverted_order,
98,Pour aller à Reims depuis Dijon,Dijon,Reims,1,medium,inverted_order,
99,Je veux visiter Toulouse Nice Rennes,,,0,medium,ambiguous,too many cities
100,je voyage avec florence et paris de grenoble vers angers,Grenoble,Angers,1,hard,name_ambiguity,"Florence/Paris=prénoms, lowercase"
101,je dois aller de aix-en-provence a toulon,Aix-en-Provence,Toulon,1,medium,no_capitals,"lowercase, no accents"
102,je dois aller de paris a brest,Paris,Brest,1,medium,no_capitals,"lowercase, no accents"
103,Combien coûte un billet de Lyon à Amiens,Lyon,Amiens,1,medium,additional_info,with time/passenger info
104,Comment aller de Toulouse à Saint-Étienne,Toulouse,Saint-Étienne,1,easy,standard,
105,de tours vers grenoble,Tours,Grenoble,1,medium,no_capitals,"lowercase, no accents"
106,Comment aller de Lyon à Rennes à Nice,,,0,medium,ambiguous,too many cities
107,Je dois me rendre de Tours à Lille,Tours,Lille,1,easy,standard,
108,Je veux aller à Le Havre ?,,,0,easy,incomplete_origin,missing origin
109,"albert, paris et moi voulons aller de montpellier à marseille",Montpellier,Marseille,1,hard,name_ambiguity,"Albert/Paris=prénoms, lowercase"
110,Venant de Montpellier,,,0,easy,incomplete_dest,missing destination
111,Bilet Toulo Clermoont-Ferrand,Toulon,Clermont-Ferrand,1,hard,misspelling,spelling errors
112,Direction Toulouse en partant de Strasbourg,Strasbourg,Toulouse,1,medium,inverted_order,
113,"avec mes amis paris et rémy, je voudrais aller de marseille à montpellier",Marseille,Montpellier,1,hard,name_ambiguity,"Paris/Rémy=prénoms, lowercase"
114,Je vais à Bordeaux ou Rennes,,,0,medium,ambiguous,contradictions
115,Je vais à Dijon voir mon ami Paris en partant de Angers,Angers,Dijon,1,medium,name_ambiguity,Paris=prénom
116,bilet angeers villeurbanne,Angers,Villeurbanne,1,hard,misspelling,spelling errors
117,??? 456 Marseille voyage @@##,,,0,easy,garbage,incoherent mix
118,Billet Lyon Toulouse Paris,,,0,medium,ambiguous,too many cities
119,jardin nuage jardin crayon guitare,,,0,easy,garbage,nonsense words
120,voyage ??? Lyon 123 ???,,,0,easy,garbage,incoherent mix
121,À Marseille en partance de Aix-en-Provence,Aix-en-Provence,Marseille,1,medium,inverted_order,
122,Je voyage avec Clément et Rémy de Nice vers Paris,Nice,Paris,1,hard,name_ambiguity,Clément/Rémy=prénoms
123,Pour Nantes ?,,,0,easy,incomplete_origin,missing origin
124,samuhatek jaz pal,,,0,easy,garbage,random text
125,Je souhaite me rendre à Paris depuis Dijon,Dijon,Paris,1,easy,standard,
126,nogu fono,,,0,easy,garbage,random text
127,Pourquoi pas,,,0,easy,no_intent,random_statements
128,Je cherche un train de Le Mans à Lille,Le Mans,Lille,1,easy,standard,
129,I would like a ticket,,,0,easy,garbage,foreign language
130,Avec mon ami Albert je voudrais aller de Reims à Florence,Reims,Florence,1,medium,name_ambiguity,Albert=prénom
131,Comment se rendre à Toulouse si on part de Brest,Brest,Toulouse,1,medium,inverted_order,
132,je souhaite me rendre a grenoble depuis strasbourg,Strasbourg,Grenoble,1,medium,no_capitals,"lowercase, no accents"
133,Billet Limoges Nice,Limoges,Nice,1,medium,no_markers,
134,Comment se rendre à Tours si on part de Lyon,Lyon,Tours,1,medium,inverted_order,
135,Je voyage avec Albert et Florence de Toulouse vers Grenoble,Toulouse,Grenoble,1,hard,name_ambiguity,Albert/Florence=prénoms
136,"Florence, Clément et moi voulons aller de Brest à Florence",Brest,Florence,1,hard,name_ambiguity,Florence/Clément=prénoms
137,Un aller simple de Grenoble à Angers,Grenoble,Angers,1,easy,standard,
138,retrouver albert à rennes en partant de villeurbanne,Villeurbanne,Rennes,1,hard,name_ambiguity,"Albert=prénom, lowercase"
139,Pouvez-vous me donner les horaires de Montpellier à Angers,Montpellier,Angers,1,easy,standard,
140,route pour reims,,,0,easy,incomplete_origin,missing origin
141,direction,,,0,easy,incomplete_grammar,grammatically incomplete
142,Lyon Strasbourg ce soir,Lyon,Strasbourg,1,medium,no_markers,
143,À quelle heure part le premier train de Limoges pour Bordeaux,Limoges,Bordeaux,1,medium,complex_question,
144,Je dois me rendre de Paris à Reims,Paris,Reims,1,easy,standard,
145,Combien coûte un billet de train de Toulouse à Brest,Toulouse,Brest,1,medium,standard,
146,kydozyb tijyve harom ragomefid jac,,,0,easy,garbage,random text
147,À Nîmes en partance de Aix-en-Provence,Aix-en-Provence,Nîmes,1,medium,inverted_order,
148,Je souhaite me rendre à Villeurbanne depuis Metz,Metz,Villeurbanne,1,easy,standard,
149,Je souhaite me rendre à Nantes depuis Metz,Metz,Nantes,1,easy,standard,
150,Quel est le temps de trajet de Perpignan à Limoges,Perpignan,Limoges,1,medium,standard,
151,commen aler de anggers a anneccy,Angers,Annecy,1,hard,misspelling,spelling errors
152,hyxygeco dibibi wab bovu,,,0,easy,garbage,random text
153,bonjour ?,,,0,easy,no_intent,greetings
154,Train Bordeaux Saint-Étienne,Bordeaux,Saint-Étienne,1,easy,no_markers,
155,comment vas-tu ?,,,0,easy,no_intent,greetings
156,Vers Nantes,,,0,easy,incomplete_origin,missing origin
157,vers marseille,,,0,easy,incomplete_origin,missing origin
158,I need help,,,0,easy,garbage,foreign language
159,Je dois rejoindre Albert à Paris depuis Nîmes,Nîmes,Paris,1,medium,name_ambiguity,Albert=prénom
160,Un billet Saint-Étienne Le Havre pour ce soir,Saint-Étienne,Le Havre,1,medium,additional_info,with time/passenger info
161,je suis à angers ?,,,0,easy,incomplete_dest,missing destination
162,Combien coûte un billet de train de Lille à Reims,Lille,Reims,1,medium,standard,
163,Direction Nantes en partant de Le Havre,Le Havre,Nantes,1,medium,inverted_order,
164,Billet Nice Montpellier,Nice,Montpellier,1,medium,no_markers,
165,basé à rennes,,,0,easy,incomplete_dest,missing destination
166,"paris, albert et moi voulons aller de marseille à reims",Marseille,Reims,1,hard,name_ambiguity,"Paris/Albert=prénoms, lowercase"
167,Bilet Grenobl Dijjon,Grenoble,Dijon,1,hard,misspelling,spelling errors
168,"Avec mes amis Lourdes et Rémy, je voudrais aller de Montpellier à Florence",Montpellier,Florence,1,hard,name_ambiguity,Lourdes/Rémy=prénoms
169,jybotisyka renovoh fywyj wahuba wubuqifo,,,0,easy,garbage,random text
170,Je veux aller de Le Mans à Reims,Le Mans,Reims,1,easy,standard,
171,Saint-Étienne Paris demain,Saint-Étienne,Paris,1,medium,no_markers,
172,En partant de Grenoble,,,0,easy,incomplete_dest,missing destination
173,je veux aller de lyon a reims,Lyon,Reims,1,medium,no_capitals,"lowercase, no accents"
174,De Rennes à Nantes ou peut-être Marseille,,,0,medium,ambiguous,contradictions
175,Je suis à Marseille ?,,,0,easy,incomplete_dest,missing destination
176,quelle est la météo ?,,,0,easy,no_intent,general_questions
177,je veux réserver,,,0,easy,incomplete_grammar,grammatically incomplete
178,Je suis à Marseille,,,0,easy,incomplete_dest,missing destination
179,Vers Paris au départ de Toulouse,Toulouse,Paris,1,medium,inverted_order,
180,Départ Le Havre arrivée Saint-Étienne,Le Havre,Saint-Étienne,1,easy,standard,
181,Soit Nantes soit Paris,,,0,medium,ambiguous,contradictions
182,Vers Marseille au départ de Aix-en-Provence,Aix-en-Provence,Marseille,1,medium,inverted_order,
183,"albert, lourdes et moi voulons aller de metz à le mans",Metz,Le Mans,1,hard,name_ambiguity,"Albert/Lourdes=prénoms, lowercase"
184,de angers vers montpellier,Angers,Montpellier,1,medium,no_capitals,"lowercase, no accents"
185,génial ?,,,0,easy,no_intent,random_statements
186,456 Marseille ^^&&,,,0,easy,garbage,incoherent mix
187,Quel est le prix d'un aller simple de Toulouse à Paris,Toulouse,Paris,1,medium,additional_info,with time/passenger info
188,Quand part le prochain train de Le Havre vers Montpellier,Le Havre,Montpellier,1,medium,standard,
189,voyage voyage voyage voyage voyage voyage,,,0,easy,garbage,repetitions
190,Je veux visiter Nice Paris Toulouse,,,0,medium,ambiguous,too many cities
191,Je souhaite me rendre à Toulon depuis Amiens,Amiens,Toulon,1,easy,standard,
192,Je veux aller de Strasbourg à Rennes,Strasbourg,Rennes,1,easy,standard,
193,Quel est le train le plus rapide de Le Mans à Nantes,Le Mans,Nantes,1,hard,complex_question,
194,Direction Metz en partant de Perpignan,Perpignan,Metz,1,medium,inverted_order,
195,Venant de Lille ?,,,0,easy,incomplete_dest,missing destination
196,Toulouse Lyon Nice Bordeaux,,,0,medium,ambiguous,too many cities
197,juhylabovu xigavik zozox,,,0,easy,garbage,random text
198,Train pour Lille Paris et Marseille,,,0,medium,ambiguous,too many cities
199,Mon ami Albert m'attend à Florence je pars de Villeurbanne,Villeurbanne,Florence,1,medium,name_ambiguity,Albert=prénom
200,Je souhaite me rendre à Bordeaux en partant de Châlons en Champagne,Châlons-en-Champagne,Bordeaux,1,medium,compound_name,compound name no hyphen
201,Vers Saint-Étienne au départ de Annecy,Annecy,Saint-Étienne,1,medium,inverted_order,
202,J'aime lire des livres !,,,0,easy,no_intent,off_topic
203,Mon ami Albert m'attend à Florence je pars de Lyon,Lyon,Florence,1,medium,name_ambiguity,Albert=prénom
204,retrouver albert à strasbourg en partant de paris,Paris,Strasbourg,1,hard,name_ambiguity,"Albert=prénom, lowercase"
205,comment aller a le mans depuis saint-étienn,Saint-Étienne,Le Mans,1,hard,misspelling,spelling errors
206,Je vais de Marseille à Marseille,,,0,medium,ambiguous,origin equals destination
207,Les trains français sont confortables !,,,0,easy,no_intent,train_discussion
208,Combien de correspondances entre Le Mans et Annecy,Le Mans,Annecy,1,hard,complex_question,
209,Y a-t-il un train de Brest vers Nîmes,Brest,Nîmes,1,easy,standard,
210,Je dois rejoindre Lourdes à Paris depuis Brest,Brest,Paris,1,medium,name_ambiguity,Lourdes=prénom
211,Je souhaite me rendre à Boulogne sur Mer en partant de Rennes,Rennes,Boulogne-sur-Mer,1,medium,compound_name,compound name no hyphen
212,Deux billets de Perpignan à Strasbourg s'il vous plaît,Perpignan,Strasbourg,1,medium,additional_info,with time/passenger info
213,Je suis actuellement à Paris,,,0,easy,incomplete_dest,missing destination
214,"albert, clément et moi voulons aller de amiens à rennes",Amiens,Rennes,1,hard,name_ambiguity,"Albert/Clément=prénoms, lowercase"
215,"avec mes amis albert et paris, je voudrais aller de lille à grenoble",Lille,Grenoble,1,hard,name_ambiguity,"Albert/Paris=prénoms, lowercase"
216,Je cherche un train de Metz à Grenoble,Metz,Grenoble,1,easy,standard,
217,Un billet Dijon Strasbourg,Dijon,Strasbourg,1,easy,no_markers,
218,horaire de train,,,0,easy,incomplete_grammar,grammatically incomplete
219,commen aler de nantes a strasbour,Nantes,Strasbourg,1,hard,misspelling,spelling errors
220,Je dois aller à Angers,,,0,easy,incomplete_origin,missing origin
221,un billet amiens nice s'il vous plait,Amiens,Nice,1,medium,no_capitals,"lowercase, no accents"
222,lampe nougat tambour jardin igloo framboise,,,0,easy,garbage,nonsense words
223,Réservation Tours Toulouse,Tours,Toulouse,1,medium,no_markers,
224,Un billet Grenoble Marseille,Grenoble,Marseille,1,easy,no_markers,
225,Comment se rendre à Villeurbanne si on part de Marseille,Marseille,Villeurbanne,1,medium,inverted_order,
226,Je voudrais un billet de Perpignan à Brest,Perpignan,Brest,1,easy,standard,
227,Les locomotives sont puissantes,,,0,easy,no_intent,train_discussion
228,Je veux aller de Bordeaux à Nîmes,Bordeaux,Nîmes,1,easy,standard,
229,Je me rends à Montpellier ?,,,0,easy,incomplete_origin,missing origin
230,Trajet de Perpignan vers Villeurbanne,Perpignan,Villeurbanne,1,easy,standard,
231,Je voudrais partir de Lille à Aix-en-Provence lundi prochain,Lille,Aix-en-Provence,1,medium,additional_info,with time/passenger info
232,Mon ami Rémy m'attend à Nice je pars de Montpellier,Montpellier,Nice,1,medium,name_ambiguity,Rémy=prénom
233,Y a-t-il des trains directs de Le Havre à Toulon,Le Havre,Toulon,1,medium,standard,
234,je souhaite me rendre a tours depuis limoges,Limoges,Tours,1,medium,no_capitals,"lowercase, no accents"
235,Je veux aller de Strasbourg à Perpigna,Strasbourg,Perpignan,1,hard,misspelling,spelling errors
236,je dois aller de reims a dijon,Reims,Dijon,1,medium,no_capitals,"lowercase, no accents"
237,Je voudrais un billet de Reims à Nîmes,Reims,Nîmes,1,easy,standard,
238,je voudrais un billet de limoges a le mans,Limoges,Le Mans,1,medium,no_capitals,"lowercase, no accents"
239,d'accord,,,0,easy,no_intent,random_statements
240,Mon ami Florence m'attend à Paris je pars de Le Havre,Le Havre,Paris,1,medium,name_ambiguity,Florence=prénom
241,Pour aller à Bordeaux depuis Paris,Paris,Bordeaux,1,medium,inverted_order,
242,Cap sur Nantes depuis Montpellier,Montpellier,Nantes,1,medium,inverted_order,
243,je souhaite me rendre a amiens depui nantez,Nantes,Amiens,1,hard,misspelling,spelling errors
244,Trajet vers Perpignan au départ de Nîmes,Nîmes,Perpignan,1,medium,inverted_order,
245,Je souhaite me rendre à Marseille,,,0,easy,incomplete_origin,missing origin
246,Enchanté ?,,,0,easy,no_intent,greetings
247,Comment aller de Marseille à Marseille,,,0,medium,ambiguous,origin equals destination
248,Comment aller à Châlons-en-Champagne depuis Nantes,Nantes,Châlons-en-Champagne,1,medium,compound_name,compound name
249,Je me rends à Strasbourg en provenance de Marseille,Marseille,Strasbourg,1,medium,inverted_order,
250,^^&& ^^&&,,,0,easy,garbage,special characters
251,Quel est l'horaire des trains au départ de Nîmes pour Toulouse,Nîmes,Toulouse,1,medium,standard,
252,commen aler de dijon a nantes,Dijon,Nantes,1,hard,misspelling,spelling errors
253,Avec mon ami Lourdes je voudrais aller de Strasbourg à Perpignan,Strasbourg,Perpignan,1,medium,name_ambiguity,Lourdes=prénom
254,tambour guitare baleine parapluie,,,0,easy,garbage,nonsense words
255,Retrouver Rémy à Florence en partant de Limoges,Limoges,Florence,1,hard,name_ambiguity,Rémy=prénom
256,Je voudrais un billet de Montpellier à Reims,Montpellier,Reims,1,easy,standard,
257,Je dois rejoindre Albert à Florence depuis Nîmes,Nîmes,Florence,1,medium,name_ambiguity,Albert=prénom
258,"florence, lourdes et moi voulons aller de le mans à limoges",Le Mans,Limoges,1,hard,name_ambiguity,"Florence/Lourdes=prénoms, lowercase"
259,commen aler de nîmes a saint-étienn,Nîmes,Saint-Étienne,1,hard,misspelling,spelling errors
260,Cap sur Grenoble,,,0,easy,incomplete_origin,missing origin
261,Je vais de Nantes à Marseille à Lille,,,0,medium,ambiguous,too many cities
262,bonjour,,,0,easy,no_intent,greetings
263,Ravi de vous rencontrer !,,,0,easy,no_intent,greetings
264,en direction de toulouse,,,0,easy,incomplete_origin,missing origin
265,Montpellier Saint-Étienne demain,Montpellier,Saint-Étienne,1,medium,no_markers,
266,trajet amien tours,Amiens,Tours,1,hard,misspelling,spelling errors
267,Avec mon ami Rémy je voudrais aller de Le Havre à Nice,Le Havre,Nice,1,medium,name_ambiguity,Rémy=prénom
268,Trajet Toulon Brest,Toulon,Brest,1,medium,no_markers,
269,Je dois rejoindre Florence à Lille depuis Saint-Étienne,Saint-Étienne,Lille,1,medium,name_ambiguity,Florence=prénom
270,Je quitte Angers ?,,,0,easy,incomplete_dest,missing destination
271,basé à le havre,,,0,easy,incomplete_dest,missing destination
272,Êtes-vous marié ?,,,0,easy,no_intent,general_questions
273,nuage baleine jardin,,,0,easy,garbage,nonsense words
274,Bilet Aix-een-Provence Nantess,Aix-en-Provence,Nantes,1,hard,misspelling,spelling errors
275,bien sûr ?,,,0,easy,no_intent,random_statements
276,De Bordeaux à Nice ou peut-être Montpellier,,,0,medium,ambiguous,contradictions
277,Peut-être Lille ou bien Lyon,,,0,medium,ambiguous,contradictions
278,Je voudrais aller à Nice ?,,,0,easy,incomplete_origin,missing origin
279,Je cherche un train de Nantes à Villeurbanne,Nantes,Villeurbanne,1,easy,standard,
280,Avec mon ami Clément je voudrais aller de Nantes à Paris,Nantes,Paris,1,medium,name_ambiguity,Clément=prénom
281,Trajet Bourg-en-Bresse Amiens,Bourg-en-Bresse,Amiens,1,medium,compound_name,compound name
282,Un aller-retour Perpignan Annecy pour la semaine prochaine,Perpignan,Annecy,1,medium,additional_info,with time/passenger info
283,Direction Reims en partant de Bordeaux,Bordeaux,Reims,1,medium,inverted_order,
284,Dijon Clermont-Ferrand demain,Dijon,Clermont-Ferrand,1,medium,no_markers,
285,commen aler de montpellie a marseille,Montpellier,Marseille,1,hard,misspelling,spelling errors
286,"Albert, Clément et moi voulons aller de Limoges à Florence",Limoges,Florence,1,hard,name_ambiguity,Albert/Clément=prénoms
287,je dois aller de clermont-ferrand a reims,Clermont-Ferrand,Reims,1,medium,no_capitals,"lowercase, no accents"
288,Je pars pour Reims,,,0,easy,incomplete_origin,missing origin
289,Je voudrais un billet de Tours à Bordeaux,Tours,Bordeaux,1,easy,standard,
290,billet bordeaux perpignan,Bordeaux,Perpignan,1,medium,no_capitals,"lowercase, no accents"
291,Train de Bordeaux à Aix en Provence,Bordeaux,Aix-en-Provence,1,medium,compound_name,compound name no hyphen
292,Je vais à Le Mans voir mon ami Rémy en partant de Strasbourg,Strasbourg,Le Mans,1,medium,name_ambiguity,Rémy=prénom
293,il fait beau aujourd'hui,,,0,easy,no_intent,general_questions
294,un billet strasbourg lile,Strasbourg,Lille,1,hard,misspelling,spelling errors
295,selenemu cehe hylopak zenyhyd,,,0,easy,garbage,random text
296,Un train de Aix-en-Provence pour Rennes,Aix-en-Provence,Rennes,1,easy,standard,
297,Je voudrais un bilet de Bordeaus à Grennoble,Bordeaux,Grenoble,1,hard,misspelling,spelling errors
298,les gares sont belles,,,0,easy,no_intent,train_discussion
299,billet tours rennes,Tours,Rennes,1,medium,no_capitals,"lowercase, no accents"
300,D'accord ?,,,0,easy,no_intent,random_statements
301,je souhaite me rendre a amieens depui villeurbannne,Villeurbanne,Amiens,1,hard,misspelling,spelling errors
302,Mon ami Paris m'attend à Florence je pars de Annecy,Annecy,Florence,1,medium,name_ambiguity,Paris=prénom
303,Fantastique,,,0,easy,no_intent,random_statements
304,Toulouse Metz ce soir,Toulouse,Metz,1,medium,no_markers,
305,je dois aller à dijon,,,0,easy,incomplete_origin,missing origin
306,Lille Toulouse Marseille Rennes,,,0,medium,ambiguous,too many cities
307,salut,,,0,easy,no_intent,greetings
308,requin baleine vague nougat baleine nougat,,,0,easy,garbage,nonsense words
309,un train de dijon a nice,Dijon,Nice,1,medium,no_capitals,"lowercase, no accents"
310,Combien coûte un billet de train de Le Mans à Reims,Le Mans,Reims,1,medium,standard,
311,Comment aller de Nîmes à Lille,Nîmes,Lille,1,easy,standard,
312,À quelle heure y a-t-il des trains de Limoges à Clermont-Ferrand,Limoges,Clermont-Ferrand,1,medium,standard,
313,Y a-t-il un train de Montpellier vers Paris,Montpellier,Paris,1,easy,standard,
314,Vers Le Mans au départ de Saint-Étienne,Saint-Étienne,Le Mans,1,medium,inverted_order,
315,Je me trouve à Lille,,,0,easy,incomplete_dest,missing destination
316,De Boulogne-sur-Mer vers Toulouse,Boulogne-sur-Mer,Toulouse,1,medium,compound_name,compound name
317,de toulon vers le havre,Toulon,Le Havre,1,medium,no_capitals,"lowercase, no accents"
318,coju jadatak,,,0,easy,garbage,random text
319,Quel est le train le plus rapide de Lyon à Reims,Lyon,Reims,1,hard,complex_question,
320,Lyon @@@ !!! 123 train,,,0,easy,garbage,incoherent mix
321,Trajet vers Aix-en-Provence au départ de Angers,Angers,Aix-en-Provence,1,medium,inverted_order,
322,Mon départ est à Nantes,,,0,easy,incomplete_dest,missing destination
323,Pour Rennes ?,,,0,easy,incomplete_origin,missing origin
